x,p
51.066,10728.7
51.0955,10728.8
51.125,10728.9
51.1545,10729
51.1841,10729.2
51.2136,10729.6
51.2431,10730.1
51.2726,10730.5
51.3022,10730.9
51.3317,10731.4
51.3612,10732.2
51.3907,10733
51.4203,10733.8
51.4498,10734.6
51.4793,10735.4
51.5088,10736.6
51.5383,10737.8
51.5679,10739
51.5974,10740.2
51.6269,10741.3
51.6564,10742.6
51.686,10743.9
51.7155,10745.3
51.745,10746.6
51.7745,10747.9
51.8041,10748.9
51.8336,10749.9
51.8631,10750.8
51.8926,10751.8
51.9221,10752.7
51.9517,10753.3
51.9812,10753.6
52.0107,10754
52.0402,10754.3
52.0698,10754.6
52.0993,10754.7
52.1288,10754.5
52.1583,10754.2
52.1878,10754
52.2174,10753.7
52.2469,10753.4
52.2764,10752.7
52.3059,10752
52.3355,10751.3
52.365,10750.6
52.3945,10749.8
52.424,10748.8
52.4536,10747.7
52.4831,10746.6
52.5126,10745.5
52.5421,10744.4
52.5716,10743.2
52.6012,10742
52.6307,10740.8
52.6602,10739.6
52.6897,10738.5
52.7193,10737.4
52.7488,10736.4
52.7783,10735.3
52.8078,10734.3
52.8374,10733.3
52.8669,10732.4
52.8964,10731.5
52.9259,10730.7
52.9554,10729.9
52.985,10729.1
53.0145,10728.3
53.044,10727.8
53.0735,10727.2
53.1031,10726.7
53.1326,10726.1
53.1621,10725.7
53.1916,10725.4
53.2212,10725.1
53.2507,10724.9
53.2802,10724.6
53.3097,10724.4
53.3392,10724.3
53.3688,10724.3
53.3983,10724.2
53.4278,10724.2
53.4573,10724.1
53.4869,10724.3
53.5164,10724.5
53.5459,10724.7
53.5754,10724.9
53.605,10725.1
53.6345,10725.6
53.664,10726.1
53.6935,10726.6
53.723,10727.1
53.7526,10727.6
53.7821,10728.3
53.8116,10729.1
53.8411,10729.9
53.8707,10730.8
53.9002,10731.6
53.9297,10732.4
53.9592,10733.4
53.9887,10734.3
54.0183,10735.3
54.0478,10736.2
54.0773,10737.1
